COLL_NOM,COLL_SIRET,DELIB_ID,DELIB_DATE,DELIB_MATIERE_CODE,DELIB_MATIERE_NOM,DELIB_OBJET,BUDGET_ANNEE,BUDGET_NOM,PREF_ID,PREF_DATE,VOTE_EFFECTIF,VOTE_REEL,VOTE_POUR,VOTE_CONTRE,VOTE_ABSTENTION,DELIB_URL,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner
CAVEM,20003531900017,B_20200131_01,2020-01-31,7.5,finances locales/subventions,Attribution d'une subvention d'investissement à la régie du théâtre Intercommunal LE FORUM,,,SPREF0831,2020-02-03,12,12,12,0,0,,2021-01-14T00:00:00,5f71d88c31f06e61955b654a,7baf49c4-6447-46af-bf55-4076e323e88c,communaute-dagglomeration-var-esterel-mediterranee-1
CAVEM,20003531900017,C_20200217_33,2020-02-17,5.3,institutions et vie politique/désignation des représentants,"Syndicat des eaux du Var Est (SEVE)
Election d'un délégué titulaire",,,SPREF0831,2020-02-20,51,42,10,0,32,,2021-01-14T00:00:00,5f71d88c31f06e61955b654a,7baf49c4-6447-46af-bf55-4076e323e88c,communaute-dagglomeration-var-esterel-mediterranee-1
CAVEM,20003531900017,B_20200304_7,2020-02-28,7.6,finances locales/contributions budgétaires,Convention d'intervention foncière avec la société d'aménagement foncier d'établissement rural - Partenariat SAFER PACA - Préservation du foncier agricole,,,SPREF0831,2020-03-04,12,11,11,0,0,,2021-01-14T00:00:00,5f71d88c31f06e61955b654a,7baf49c4-6447-46af-bf55-4076e323e88c,communaute-dagglomeration-var-esterel-mediterranee-1
CAVEM,20003531900017,B_20200304_6,2020-02-28,8.5,"domaines de compétences par thèmes/politique de la ville, habitat, logement","Attribution d'une subvention à la SCIC d'HLM Grand Delta Habitat pour l'acquisition en VEFA (Vente en Etat Futur d'Achèvement) de 70 logements collectifs locatifs à Fréjus - Opération ""Fréjus - Cactus""",,,SPREF0831,2020-03-04,12,11,11,0,0,,2021-01-14T00:00:00,5f71d88c31f06e61955b654a,7baf49c4-6447-46af-bf55-4076e323e88c,communaute-dagglomeration-var-esterel-mediterranee-1
CAVEM,20003531900017,B_20200304_5,2020-02-28,8.5,"domaines de compétences par thèmes/politique de la ville, habitat, logement","Garantie d'emprunt accordée à la SA d'HLM Le Logis Familial Varois pour l'acquisition en VEFA (Vente en Etat Futur d'Achèvement) de 36 logements collectifs locatifs à Puget sur Argens - Résidence ""Les Rives du Gabron"" (Ex Résidence ""Les Parcs du Gabron"")",,,SPREF0831,2020-03-04,12,11,11,0,0,,2021-01-14T00:00:00,5f71d88c31f06e61955b654a,7baf49c4-6447-46af-bf55-4076e323e88c,communaute-dagglomeration-var-esterel-mediterranee-1
CAVEM,20003531900017,B_20200304_4,2020-02-28,8.5,"domaines de compétences par thèmes/politique de la ville, habitat, logement",Garantie d'emprunt accordée à la SA d'HLM Le Logis Familial Varois pour l'acquisition en VEFA (Vente en Etat Futur d'Achèvement) de 46 logements collectifs locatifs à Fréjus - Résidence Garden Harmony,,,SPREF0831,2020-03-04,12,11,11,0,0,,2021-01-14T00:00:00,5f71d88c31f06e61955b654a,7baf49c4-6447-46af-bf55-4076e323e88c,communaute-dagglomeration-var-esterel-mediterranee-1
CAVEM,20003531900017,B_20200304_3,2020-02-28,8.5,"domaines de compétences par thèmes/politique de la ville, habitat, logement",Intervention sur le parc de logements privés - Attribution de subventions aux propriétaires privés,,,SPREF0831,2020-03-04,12,11,11,0,0,,2021-01-14T00:00:00,5f71d88c31f06e61955b654a,7baf49c4-6447-46af-bf55-4076e323e88c,communaute-dagglomeration-var-esterel-mediterranee-1
CAVEM,20003531900017,B_20200304_2,2020-02-28,8.5,"domaines de compétences par thèmes/politique de la ville, habitat, logement",Approbation du renouvellement de la convention de partenariat 2020/2022 entre la CAVEM et l'Association Handitoit Provence,,,SPREF0831,2020-03-04,12,11,11,0,0,,2021-01-14T00:00:00,5f71d88c31f06e61955b654a,7baf49c4-6447-46af-bf55-4076e323e88c,communaute-dagglomeration-var-esterel-mediterranee-1
CAVEM,20003531900017,B_20200304_1,2020-02-28,7.6,finances locales/contributions budgétaires,"Participation financière 2020 au groupement d'intérêt public ""Agence de Rénovation Energétique Var Est AREVE""",,,SPREF0831,2020-03-04,12,11,11,0,0,,2021-01-14T00:00:00,5f71d88c31f06e61955b654a,7baf49c4-6447-46af-bf55-4076e323e88c,communaute-dagglomeration-var-esterel-mediterranee-1
CAVEM,20003531900017,C_20200217_32,2020-02-17,5.3,institutions et vie politique/désignation des représentants,"Syndicat mixte intercommunal de l'Argens (SMA)
Election d'un délégué titulaire",,,SPREF0831,2020-02-20,51,42,10,0,32,,2021-01-14T00:00:00,5f71d88c31f06e61955b654a,7baf49c4-6447-46af-bf55-4076e323e88c,communaute-dagglomeration-var-esterel-mediterranee-1
CAVEM,20003531900017,B_20200304_9,2020-02-28,8.1,domaines de compétences par thèmes/enseignement,Vente des parcelles AO n°927 et AO n°956 (ex AO n°928p) jouxtant le lotissement Epsilon II à Saint-Raphael pour l'implantation d'une école hôtelière - Propriété de la CAVEM,,,SPREF0831,2020-03-04,12,11,11,0,0,,2021-01-14T00:00:00,5f71d88c31f06e61955b654a,7baf49c4-6447-46af-bf55-4076e323e88c,communaute-dagglomeration-var-esterel-mediterranee-1
CAVEM,20003531900017,C_20200217_31,2020-02-17,5.3,institutions et vie politique/désignation des représentants,Syndicat du développement durable de l'est var (SMiDDEV) - Election d'un délégué titulaire,,,SPREF0831,2020-02-20,51,42,10,0,32,,2021-01-14T00:00:00,5f71d88c31f06e61955b654a,7baf49c4-6447-46af-bf55-4076e323e88c,communaute-dagglomeration-var-esterel-mediterranee-1
CAVEM,20003531900017,C_20200217_30,2020-02-17,5.4,institutions et vie politique/délégation de fonctions,Délégations données à Monsieur le Président – Communication.,,,SPREF0831,2020-02-20,51,42,42,0,0,,2021-01-14T00:00:00,5f71d88c31f06e61955b654a,7baf49c4-6447-46af-bf55-4076e323e88c,communaute-dagglomeration-var-esterel-mediterranee-1
CAVEM,20003531900017,C_20200217_29,2020-02-17,5.2,institutions et vie politique/fonctionnement des assemblées,Délégations données au Bureau – Communication.,,,SPREF0831,2020-02-20,51,42,42,0,0,,2021-01-14T00:00:00,5f71d88c31f06e61955b654a,7baf49c4-6447-46af-bf55-4076e323e88c,communaute-dagglomeration-var-esterel-mediterranee-1
