dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_0.2.0,is_valid_one_version,most_recent_valid_version
5e78d0155d5c2fc87a98e712,Registre des entrées d'archives d'Antibes,registre-des-entrees-darchives-dantibes,https://www.data.gouv.fr/fr/datasets/registre-des-entrees-darchives-dantibes/,8f32f255-ef8b-4eac-b3eb-7d491016e651,antibes-registre-entrees-archives.csv,https://static.data.gouv.fr/resources/registre-des-entrees-darchives-dantibes/20210107-150406/antibes-registre-entrees-archives.csv,2021-01-07T15:04:07.888000,ville-dantibes,,3 - search request,,False,False,
5b228739c751df5132e7fa55,Les  données du hackathon des Archives nationales,les-donnees-du-hackathon-des-archives-nationales,https://www.data.gouv.fr/fr/datasets/les-donnees-du-hackathon-des-archives-nationales/,7130f98d-0e61-4dbe-8d2e-4092a23190b4,06_les_clefs_d'acces_a_quatorze_siecles_d'histoire.zip,https://static.data.gouv.fr/resources/les-donnees-du-hackathon-des-archives-nationales/20181208-150419/06-les-clefs-d-acces-a-quatorze-siecles-d-histoire.zip,2018-12-08T15:06:27.079000,,wrong-file-format,3 - search request,,False,False,
5b228739c751df5132e7fa55,Les  données du hackathon des Archives nationales,les-donnees-du-hackathon-des-archives-nationales,https://www.data.gouv.fr/fr/datasets/les-donnees-du-hackathon-des-archives-nationales/,b7e38386-2faa-4958-a151-5d56a4a68bc4,05_ils_sont_devenus_citoyens_francais.zip,https://static.data.gouv.fr/resources/les-donnees-du-hackathon-des-archives-nationales/20181130-165809/05-ils-sont-devenus-citoyens-francais.zip,2018-12-03T16:35:00.885000,,wrong-file-format,3 - search request,,False,False,
5b228739c751df5132e7fa55,Les  données du hackathon des Archives nationales,les-donnees-du-hackathon-des-archives-nationales,https://www.data.gouv.fr/fr/datasets/les-donnees-du-hackathon-des-archives-nationales/,99e98e38-26b0-46ed-a36f-7b84ca528d88,04_rtfm.zip,https://static.data.gouv.fr/resources/les-donnees-du-hackathon-des-archives-nationales/20181129-174406/04-rtfm.zip,2018-12-03T16:34:03.705000,,wrong-file-format,3 - search request,,False,False,
5b228739c751df5132e7fa55,Les  données du hackathon des Archives nationales,les-donnees-du-hackathon-des-archives-nationales,https://www.data.gouv.fr/fr/datasets/les-donnees-du-hackathon-des-archives-nationales/,394161cf-4cee-4ead-8257-08f1ee0676c9,03_le_politique_parle_au_citoyen.zip,https://static.data.gouv.fr/resources/les-donnees-du-hackathon-des-archives-nationales/20181130-140846/03-le-politique-parle-au-citoyen.zip,2018-11-30T14:09:22.059000,,wrong-file-format,3 - search request,,False,False,
5b228739c751df5132e7fa55,Les  données du hackathon des Archives nationales,les-donnees-du-hackathon-des-archives-nationales,https://www.data.gouv.fr/fr/datasets/les-donnees-du-hackathon-des-archives-nationales/,6d02056a-5875-4708-8e5f-3a500c0452af,02_actes_du_citoyen_citoyen_en_actes.zip,https://static.data.gouv.fr/resources/les-donnees-du-hackathon-des-archives-nationales/20181203-160449/metadonnees-actes-du-citoyen-citoyen-en-actes.zip,2018-12-03T16:05:51.169000,,wrong-file-format,3 - search request,,False,False,
5b228739c751df5132e7fa55,Les  données du hackathon des Archives nationales,les-donnees-du-hackathon-des-archives-nationales,https://www.data.gouv.fr/fr/datasets/les-donnees-du-hackathon-des-archives-nationales/,714c5493-dcbb-4520-9704-b1383884ea2f,01_le_citoyen_a_l_honneur.zip,https://static.data.gouv.fr/resources/les-donnees-du-hackathon-des-archives-nationales/20181203-162447/metadonnees-leonore.zip,2019-02-14T17:06:04.504000,,wrong-file-format,3 - search request,,False,False,
5b228739c751df5132e7fa55,Les  données du hackathon des Archives nationales,les-donnees-du-hackathon-des-archives-nationales,https://www.data.gouv.fr/fr/datasets/les-donnees-du-hackathon-des-archives-nationales/,9c299602-3377-4e66-9039-837cef3cb17f,00_boite_a_outils.zip,https://static.data.gouv.fr/resources/les-donnees-du-hackathon-des-archives-nationales/20181207-143743/00-boite-a-outils.zip,2018-12-07T14:38:29.213000,,wrong-file-format,3 - search request,,False,False,
575e9fac88ee38072a640390,"Données ouvertes du catalogue E-Phy des produits phytopharmaceutiques, matières fertilisantes et supports de culture, adjuvants, produits mixtes et mélanges",donnees-ouvertes-du-catalogue-e-phy-des-produits-phytopharmaceutiques-matieres-fertilisantes-et-supports-de-culture-adjuvants-produits-mixtes-et-melanges,https://www.data.gouv.fr/fr/datasets/donnees-ouvertes-du-catalogue-e-phy-des-produits-phytopharmaceutiques-matieres-fertilisantes-et-supports-de-culture-adjuvants-produits-mixtes-et-melanges/,cdbc887b-265e-4338-9509-5e9958df1a48,decisionamm-intrant-format-xml-20210922.zip,https://static.data.gouv.fr/resources/donnees-ouvertes-du-catalogue-e-phy-des-produits-phytopharmaceutiques-matieres-fertilisantes-et-supports-de-culture-adjuvants-produits-mixtes-et-melanges/20210923-093608/decisionamm-intrant-format-xml-20210922.zip,2021-09-23T09:36:23.237000,,wrong-file-format,3 - search request,,False,False,
575e9fac88ee38072a640390,"Données ouvertes du catalogue E-Phy des produits phytopharmaceutiques, matières fertilisantes et supports de culture, adjuvants, produits mixtes et mélanges",donnees-ouvertes-du-catalogue-e-phy-des-produits-phytopharmaceutiques-matieres-fertilisantes-et-supports-de-culture-adjuvants-produits-mixtes-et-melanges,https://www.data.gouv.fr/fr/datasets/donnees-ouvertes-du-catalogue-e-phy-des-produits-phytopharmaceutiques-matieres-fertilisantes-et-supports-de-culture-adjuvants-produits-mixtes-et-melanges/,cb51408e-2b97-43a4-94e2-c0de5c3bf5b2,permis-de-commerce-parallele-format-csv-20210922.zip,https://static.data.gouv.fr/resources/donnees-ouvertes-du-catalogue-e-phy-des-produits-phytopharmaceutiques-matieres-fertilisantes-et-supports-de-culture-adjuvants-produits-mixtes-et-melanges/20210923-093540/permis-de-commerce-parallele-format-csv-20210922.zip,2021-09-23T09:35:47.302000,,wrong-file-format,3 - search request,,False,False,
